id,value,style,source,target,type,for_process,for_DB
2,construction project,rounded=0,null,null,external_entity,,
3,capture completed tasks via smart sensor,ellipse,null,null,process,,
4,auto-assign status data,ellipse,null,null,process,,
5,subcontract agreement,shape=partialRectangle,null,null,data_base,,
6,project database,shape=partialRectangle,null,null,data_base,,
7,completed sub-tasks?,endArrow=classic,15,3,limpro,,
8,scope of works?,endArrow=classic,25,3,limpro,,
9,real-time location info?,endArrow=classic,35,6,limdb,,
10,status?,endArrow=classic,48,4,limpro,,
11,(p)reason capture completed tasks via smart sensor,ellipse,null,null,reason,3,
12,(p)reason auto-assign status data,ellipse,null,null,reason,4,
13,policy 0,shape=partialRectangle,null,null,pol_DB,,5
14,policy 1,shape=partialRectangle,null,null,pol_DB,,6
15,limit 0,ellipse,null,null,limit,,
16,(p)request 0,ellipse,null,null,request,,
17,log 0,ellipse,null,null,log,,
18,DB log 0,shape=partialRectangle,null,null,DB_log,,
19,completed sub-tasks,endArrow=classic,2,15,extlim,,
20,pol,endArrow=classic,2,16,extreq,,
21,"completed sub-tasks,pol,v",endArrow=classic,15,17,limlog,,
22,"completed sub-tasks,pol,v",endArrow=classic,17,18,logging,,
23,pol,endArrow=classic,16,15,reqlim,,
24,pol,endArrow=classic,16,11,reqrea,,
25,limit 1,ellipse,null,null,limit,,
26,(p)request 1,ellipse,null,null,request,,
27,log 1,ellipse,null,null,log,,
28,DB log 1,shape=partialRectangle,null,null,DB_log,,
29,scope of works,endArrow=classic,5,25,dblim,,
30,pol,endArrow=classic,13,26,pdbreq,,
31,pol,endArrow=classic,26,25,reqlim,,
32,"scope of works,pol,v",endArrow=classic,25,27,limlog,,
33,"scope of works,pol,v",endArrow=classic,27,28,logging,,
34,pol,endArrow=classic,26,11,reqrea,,
35,limit 2,ellipse,null,null,limit,,
36,(p)request 2,ellipse,null,null,request,,
37,log 2,ellipse,null,null,log,,
38,DB log 2,shape=partialRectangle,null,null,DB_log,,
39,(p) clean 0,ellipse,null,null,clean,,
40,real-time location info,endArrow=classic,3,35,porlim,,
41,pol,endArrow=classic,11,36,resreq,,
42,pol,endArrow=classic,36,14,reqpdb,,
43,pol,endArrow=classic,36,35,reqlim,,
44,"real-time location info,pol,v",endArrow=classic,35,37,limlog,,
45,"real-time location info,pol,v",endArrow=classic,37,38,logging,,
46,pol,endArrow=classic,14,39,pdbcle,,
47,ref,endArrow=cross,39,6,cledb_del,,
48,limit 3,ellipse,null,null,limit,,
49,(p)request 3,ellipse,null,null,request,,
50,log 3,ellipse,null,null,log,,
51,DB log 3,shape=partialRectangle,null,null,DB_log,,
52,status,endArrow=classic,6,48,dblim,,
53,pol,endArrow=classic,14,49,pdbreq,,
54,pol,endArrow=classic,49,48,reqlim,,
55,"status,pol,v",endArrow=classic,48,50,limlog,,
56,"status,pol,v",endArrow=classic,50,51,logging,,
57,pol,endArrow=classic,49,12,reqrea,,
