id,value,style,source,target,type,for_process,for_DB
2,Customer,rounded=0,null,null,external_entity,,
3,Get Customer Information,ellipse,null,null,process,,
4,Create Amazon Account,ellipse,null,null,process,,
5,Create Account?,endArrow=classic,19,4,limpro,,
6,Customer Info?,endArrow=classic,9,3,limpro,,
7,(p)reason Get Customer Information,ellipse,null,null,reason,3,
8,(p)reason Create Amazon Account,ellipse,null,null,reason,4,
9,limit 0,ellipse,null,null,limit,,
10,(p)request 0,ellipse,null,null,request,,
11,log 0,ellipse,null,null,log,,
12,DB log 0,shape=partialRectangle,null,null,DB_log,,
13,Customer Info,endArrow=classic,2,9,extlim,,
14,pol,endArrow=classic,2,10,extreq,,
15,"Customer Info,pol,v",endArrow=classic,9,11,limlog,,
16,"Customer Info,pol,v",endArrow=classic,11,12,logging,,
17,pol,endArrow=classic,10,9,reqlim,,
18,pol,endArrow=classic,10,7,reqrea,,
19,limit 1,ellipse,null,null,limit,,
20,(p)request 1,ellipse,null,null,request,,
21,log 1,ellipse,null,null,log,,
22,DB log 1,shape=partialRectangle,null,null,DB_log,,
23,Create Account,endArrow=classic,3,19,prolim,,
24,pol,endArrow=classic,7,20,reareq,,
25,"Create Account,pol,v",endArrow=classic,19,21,limlog,,
26,"Create Account,pol,v",endArrow=classic,21,22,logging,,
27,pol,endArrow=classic,20,19,reqlim,,
28,pol,endArrow=classic,20,8,reqrea,,
